('D3', 780847, 'z', '05AL01', '2005-02-14', 8, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463122994.6777332, 'No', 'No', 'not ok')
 ('D3', 780847, 'z', '05AL01', '2005-02-14', 16, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463122832.1288726, 'No', 'No', 'not ok')
 ('D3', 780847, 'z', '05AL01', '2005-02-14', 24, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463122898.6546905, 'No', 'No', 'not ok')
 ('D3', 780847, 'z', '05AL01', '2005-02-14', 32, 'Problem', 'Problem', 'Problem', 'std::bad_alloc', 1463122963.3635888, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 0, '511 sources', '0.049 +- 0.025 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 1, '689 sources', '0.027 +- 0.014 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 2, '693 sources', '0.027 +- 0.015 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 3, '536 sources', '0.039 +- 0.022 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 4, '671 sources', '0.035 +- 0.021 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 5, '1281 sources', '0.059 +- 0.034 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 6, '541 sources', '0.022 +- 0.013 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 7, '729 sources', '0.024 +- 0.011 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 8, '557 sources', '0.031 +- 0.019 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 9, '571 sources', '0.036 +- 0.018 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 10, '575 sources', '0.036 +- 0.018 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 11, '664 sources', '0.033 +- 0.019 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 12, '497 sources', '0.033 +- 0.016 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 13, '494 sources', '0.045 +- 0.026 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 14, '490 sources', '0.033 +- 0.017 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 16, '527 sources', '0.041 +- 0.022 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 17, '732 sources', '0.026 +- 0.014 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 18, '498 sources', '0.040 +- 0.019 arcsec', 'Problem', 'All matches eliminated by source flags', 1461841979.4137435, 'No', 'No', 'not ok')
 ('D3', 795898, 'z', '05AL01', '2005-05-29', 19, '588 sources', '0.022 +- 0.016 arcsec', 'Problem', 'No input matches', 1461841979.4137435, 'No', 'No', 'not ok')
